Year,DOY,Nupstream,Ndownstream,UnknownDirectionFirst,UnknownDirectionLast,Ntotal,DOY_shift
2008,126,0,0,1,0,1,1
2008,127,0,0,8,0,8,2
2008,128,0,0,1,0,1,3
2008,129,0,0,5,0,5,4
2008,130,0,0,4,0,4,5
2008,131,0,0,6,2,8,6
2008,132,0,0,4,0,4,7
2008,133,0,0,9,1,10,8
2008,134,0,0,2,1,3,9
2008,135,0,0,14,3,17,10
2008,136,0,0,22,3,25,11
2008,137,0,0,11,3,14,12
2008,138,0,0,22,4,26,13
2008,139,0,0,16,6,22,14
2008,140,0,0,29,7,36,15
2008,141,0,0,67,6,73,16
2008,142,0,0,38,5,43,17
2008,143,0,0,9,2,11,18
2008,144,0,0,11,5,16,19
2008,145,0,0,20,8,28,20
2008,146,0,0,47,13,60,21
2008,147,0,0,15,8,23,22
2008,148,0,0,24,6,30,23
2008,149,0,0,78,13,91,24
2008,150,0,0,43,17,60,25
2008,151,0,0,59,34,93,26
2008,152,0,0,54,20,74,27
2008,153,0,0,45,17,62,28
2008,154,0,0,33,28,61,29
2008,155,0,0,36,17,53,30
2008,156,0,0,15,8,23,31
2008,157,0,0,9,8,17,32
2008,158,0,0,26,9,35,33
2008,159,0,0,11,25,36,34
2008,160,0,0,15,19,34,35
2008,161,0,0,13,26,39,36
2008,162,0,0,11,15,26,37
2008,163,0,0,13,16,29,38
2008,164,0,0,8,6,14,39
2008,165,0,0,9,4,13,40
2008,166,0,0,8,7,15,41
2008,167,0,0,11,3,14,42
2008,168,0,0,13,3,16,43
2008,169,0,0,10,10,20,44
2008,170,0,0,10,3,13,45
2008,171,0,0,6,9,15,46
2008,172,0,0,3,6,9,47
2008,173,0,0,4,12,16,48
2008,174,0,0,4,8,12,49
2008,175,0,0,3,8,11,50
2008,176,0,0,3,4,7,51
2008,177,0,0,1,4,5,52
2008,178,0,0,0,5,5,53
2008,179,0,0,2,8,10,54
2008,180,0,0,1,1,2,55
2008,181,0,0,2,9,11,56
2008,182,0,0,0,6,6,57
2008,183,0,0,1,0,1,58
2008,184,0,0,0,1,1,59
2008,185,0,0,0,3,3,60
2008,187,0,0,1,0,1,62
2008,188,0,0,0,2,2,63
2009,121,0,0,2,0,2,1
2009,123,0,0,2,0,2,3
2009,124,0,0,1,0,1,4
2009,125,0,0,4,0,4,5
2009,126,0,0,2,0,2,6
2009,127,0,0,5,0,5,7
2009,128,0,0,7,0,7,8
2009,129,0,0,3,0,3,9
2009,130,0,0,5,3,8,10
2009,131,0,0,12,0,12,11
2009,132,0,0,7,2,9,12
2009,133,0,0,14,1,15,13
2009,134,0,0,5,2,7,14
2009,135,0,0,23,11,34,15
2009,136,0,0,7,0,7,16
2009,137,0,0,1,1,2,17
2009,138,0,0,6,4,10,18
2009,139,0,0,21,4,25,19
2009,140,0,0,3,1,4,20
2009,141,0,0,14,3,17,21
2009,142,0,0,36,3,39,22
2009,143,0,0,6,4,10,23
2009,144,0,0,1,2,3,24
2009,145,0,0,1,0,1,25
2009,146,0,0,12,6,18,26
2009,147,0,0,17,1,18,27
2009,148,0,0,12,3,15,28
2009,149,0,0,8,4,12,29
2009,150,0,0,7,6,13,30
2009,151,0,0,9,3,12,31
2009,152,0,0,6,3,9,32
2009,153,0,0,13,8,21,33
2009,154,0,0,6,4,10,34
2009,155,0,0,14,9,23,35
2009,156,0,0,7,5,12,36
2009,157,0,0,1,4,5,37
2009,158,0,0,4,8,12,38
2009,159,0,0,1,1,2,39
2009,160,0,0,3,2,5,40
2009,161,0,0,1,2,3,41
2009,162,0,0,1,0,1,42
2009,163,0,0,1,1,2,43
2009,164,0,0,4,4,8,44
2009,165,0,0,0,1,1,45
2009,166,0,0,1,0,1,46
2009,167,0,0,2,4,6,47
2009,168,0,0,4,0,4,48
2009,169,0,0,2,0,2,49
2009,170,0,0,1,2,3,50
2009,171,0,0,3,2,5,51
2009,173,0,0,0,1,1,53
2009,174,0,0,3,4,7,54
2009,175,0,0,3,1,4,55
2009,176,0,0,0,2,2,56
2009,177,0,0,0,1,1,57
2009,178,0,0,1,0,1,58
2009,179,0,0,0,1,1,59
2009,180,0,0,2,0,2,60
2009,182,0,0,1,1,2,62
2009,184,0,0,1,0,1,64
2009,188,0,0,3,0,3,68
2009,189,0,0,0,1,1,69
2009,191,0,0,0,1,1,71
2009,194,0,0,1,0,1,74
2009,196,0,0,1,1,2,76
2009,198,0,0,1,2,3,78
2009,199,0,0,0,1,1,79
2009,201,0,0,1,1,2,81
2010,123,0,0,2,0,2,1
2010,124,0,0,7,0,7,2
2010,125,0,0,10,0,10,3
2010,126,0,0,7,1,8,4
2010,127,0,0,6,1,7,5
2010,129,0,0,10,0,10,7
2010,130,0,0,12,2,14,8
2010,131,0,0,3,0,3,9
2010,132,0,0,1,0,1,10
2010,133,0,0,2,0,2,11
2010,134,0,0,5,1,6,12
2010,135,0,0,7,0,7,13
2010,136,0,0,12,5,17,14
2010,137,0,0,24,3,27,15
2010,138,0,0,8,6,14,16
2010,139,0,0,3,1,4,17
2010,140,0,0,22,5,27,18
2010,141,0,0,17,3,20,19
2010,142,0,0,22,1,23,20
2010,143,0,0,3,1,4,21
2010,144,0,0,2,1,3,22
2010,145,0,0,14,3,17,23
2010,146,0,0,48,18,66,24
2010,147,0,0,116,14,130,25
2010,148,0,0,79,8,87,26
2010,149,0,0,81,11,92,27
2010,150,0,0,37,14,51,28
2010,151,0,0,51,22,73,29
2010,152,0,0,42,22,64,30
2010,153,0,0,40,13,53,31
2010,154,0,0,17,32,49,32
2010,155,0,0,32,22,54,33
2010,156,0,0,22,34,56,34
2010,157,0,0,26,54,80,35
2010,158,0,0,15,42,57,36
2010,159,0,0,10,21,31,37
2010,160,0,0,15,64,79,38
2010,161,0,0,18,33,51,39
2010,162,0,0,7,29,36,40
2010,163,0,0,22,71,93,41
2010,164,0,0,9,33,42,42
2010,165,0,0,2,18,20,43
2010,166,0,0,4,6,10,44
2010,167,0,0,0,8,8,45
2010,170,0,0,1,1,2,48
2010,171,0,0,1,2,3,49
2010,176,0,0,2,3,5,54
2010,177,0,0,0,3,3,55
2010,181,0,0,0,1,1,59
2010,182,0,0,0,2,2,60
2010,183,0,0,0,1,1,61
2011,106,0,0,1,0,1,1
2011,107,0,0,1,0,1,2
2011,108,0,0,0,1,1,3
2011,126,0,0,1,0,1,21
2011,127,0,0,2,0,2,22
2011,128,0,0,2,0,2,23
2011,129,0,0,2,0,2,24
2012,111,0,0,2,0,2,1
2012,112,0,0,7,0,7,2
2012,113,0,0,9,1,10,3
2012,114,0,0,17,4,21,4
2012,115,0,0,23,1,24,5
2012,116,0,0,12,2,14,6
2012,117,0,0,8,0,8,7
2012,118,0,0,1,0,1,8
2012,119,0,0,1,0,1,9
2012,120,0,0,5,1,6,10
2012,121,0,0,18,1,19,11
2012,122,0,0,22,2,24,12
2012,123,0,0,46,6,52,13
2012,124,0,0,31,4,35,14
2012,125,0,0,27,8,35,15
2012,126,0,0,12,1,13,16
2012,127,0,0,6,2,8,17
2012,128,0,0,11,6,17,18
2012,129,0,0,23,9,32,19
2012,130,0,0,43,13,56,20
2012,131,0,0,29,8,37,21
2012,132,0,0,21,4,25,22
2012,133,0,0,17,14,31,23
2012,134,0,0,109,27,136,24
2012,135,0,0,59,14,73,25
2012,136,0,0,22,6,28,26
2012,137,0,0,37,9,46,27
2012,138,0,0,31,15,46,28
2012,139,0,0,13,4,17,29
2012,140,0,0,166,37,203,30
2012,141,0,0,103,29,132,31
2012,142,0,0,167,39,206,32
2012,143,0,0,68,26,94,33
2012,144,0,0,32,23,55,34
2012,145,0,0,46,41,87,35
2012,146,0,0,23,22,45,36
2012,147,0,0,7,13,20,37
2012,148,0,0,6,22,28,38
2012,149,0,0,16,35,51,39
2012,150,0,0,21,41,62,40
2012,151,0,0,17,41,58,41
2012,152,0,0,12,42,54,42
2012,153,0,0,20,34,54,43
2012,154,0,0,16,29,45,44
2012,155,0,0,5,34,39,45
2012,156,0,0,9,47,56,46
2012,157,0,0,29,93,122,47
2012,158,0,0,13,75,88,48
2012,159,0,0,12,48,60,49
2012,160,0,0,7,37,44,50
2012,161,0,0,6,36,42,51
2012,162,0,0,7,25,32,52
2012,163,0,0,1,10,11,53
2012,164,0,0,2,6,8,54
2012,165,0,0,3,11,14,55
2012,166,0,0,2,1,3,56
2012,167,0,0,0,3,3,57
2012,168,0,0,0,1,1,58
2012,169,0,0,0,5,5,59
2012,170,0,0,0,3,3,60
2013,119,0,0,1,1,2,1
2013,120,0,0,8,0,8,2
